customer_id_old,source_id_old,customer_id_new,source_id_new
cus_KHEmYCqhLnhggJ,pm_1O0CFmKhuokAmGLhnBq6Jl6c,cus_KHEmYCqhLnhggJ,pm_1OrfJ8CDacOypsYbeUpVDavv
cus_KHEmYCqhLnhggJ,pm_1O5cooKhuokAmGLh0f3k3ZH2,cus_KHEmYCqhLnhggJ,pm_1OrfJ8CDacOypsYbsqY9NvQy
cus_KHEmYCqhLnhggJ,src_1JcgIkKhuokAmGLhhkC7fKPd,cus_KHEmYCqhLnhggJ,src_1OrfJ7CDacOypsYbNyzBjdGe
cus_KHEnXs4tWlJyvr,src_1KmJRvKhuokAmGLhOKCYaJI3,cus_KHEnXs4tWlJyvr,src_1OrfJ7CDacOypsYbnCUFJWTE
cus_KHEnjTGArT7GAB,src_1K7p3BKhuokAmGLh9HcULdvm,cus_KHEnjTGArT7GAB,src_1OrfJ6CDacOypsYbpBeLXlMz
cus_KHGonxAFBneWXl,pm_1Nq05IKhuokAmGLhiQqchWjv,cus_KHGonxAFBneWXl,pm_1OrfJ6CDacOypsYbyVQ0bV3N
cus_KHRKvPcrJXjRIl,src_1Lul8rKhuokAmGLh1kiy8l9w,cus_KHRKvPcrJXjRIl,src_1OrfJ5CDacOypsYbMe1Memfa
cus_KHRKvPcrJXjRIl,src_1JcsRVKhuokAmGLhw2EHRQtj,cus_KHRKvPcrJXjRIl,src_1OrfJ5CDacOypsYbynuqyswD
cus_KHSWpAmQ45xfa7,src_1LYXdAKhuokAmGLh7CHioATw,cus_KHSWpAmQ45xfa7,src_1OrfJ4CDacOypsYbyBMhP9uR
cus_KHTXIvvo5br4pV,src_1KgpQQKhuokAmGLhFd18wnNC,cus_KHTXIvvo5br4pV,src_1OrfJ4CDacOypsYbD0WPgrNW
cus_KHWrtTCptcBZ2R,src_1Jcxo1KhuokAmGLhkv61Kodq,cus_KHWrtTCptcBZ2R,src_1OrfJ3CDacOypsYb5fiOXBRy
